perturbation,Log2 fold change,FDR P value,Cell type affected,Known regulation of macrophage differentiation or CD14,References,screened_by_surdziel
Hs.571043,0,1,,Not reviewed,,not screened
GRPEL1,0,1,,Not reviewed,,not screened
Hs.580480,0,1,,Not reviewed,,not screened
PIGH,0,1,,Not reviewed,,not screened
CACNA1I,0,1,,Not reviewed,,not screened
Hs.581175,0,1,,Not reviewed,,not screened
LOC643731,0,1,,Not reviewed,,not screened
Hs.557039,0,1,,Not reviewed,,not screened
Hs.545148,0,1,,Not reviewed,,not screened
P2RX1,0,1,,Not reviewed,,not screened
NOTCH4,0,1,,Not reviewed,,not screened
SLC30A2,0,1,,Not reviewed,,not screened
LOC649563,0,1,,Not reviewed,,not screened
Hs.543497,0,1,,Not reviewed,,not screened
SLC9A3R2,0,1,,Not reviewed,,not screened
LOC388882,0,1,,Not reviewed,,not screened
Hs.27705,0,1,,Not reviewed,,not screened
RNF113A,0,1,,Not reviewed,,not screened
NARF,0,1,,Not reviewed,,not screened
NOTUM,0,1,,Not reviewed,,not screened
Hs.458448,0,1,,Not reviewed,,not screened
LOC642141,0,1,,Not reviewed,,not screened
C10orf97,0,1,,Not reviewed,,not screened
MS4A12,0,1,,Not reviewed,,not screened
Hs.451281,0,1,,Not reviewed,,not screened
Hs.382212,0,1,,Not reviewed,,not screened
DIABLO,0,1,,Not reviewed,,not screened
Hs.566024,0,1,,Not reviewed,,not screened
ULK1,0,1,,Not reviewed,,not screened
Hs.39159,0,1,,Not reviewed,,not screened
Hs.552230,0,1,,Not reviewed,,not screened
TEX10,0,1,,Not reviewed,,not screened
FLJ21511,0,1,,Not reviewed,,not screened
SHE,0,1,,Not reviewed,,not screened
TP53RK,0,1,,Not reviewed,,not screened
Hs.545267,0,1,,Not reviewed,,not screened
Hs.291185,0,1,,Not reviewed,,not screened
HOXB1,0,1,,Not reviewed,,not screened
Hs.10862,0,1,,Not reviewed,,not screened
PCSK1,0,1,,Not reviewed,,not screened
GPR109B,0,1,,Not reviewed,,not screened
Hs.387918,0,1,,Not reviewed,,not screened
Hs.579289,0,1,,Not reviewed,,not screened
SIM2,0,1,,Not reviewed,,not screened
Hs.127715,0,1,,Not reviewed,,not screened
PCGF1,0,1,,Not reviewed,,screened
Hs.577797,0,1,,Not reviewed,,not screened
Hs.544325,0,1,,Not reviewed,,not screened
Hs.542043,0,1,,Not reviewed,,not screened
LOC339789,0,1,,Not reviewed,,not screened
SERAC1,0,1,,Not reviewed,,not screened
TBC1D13,0,1,,Not reviewed,,not screened
Hs.370889,0,1,,Not reviewed,,not screened
ROM1,0,1,,Not reviewed,,not screened
AGMAT,0,1,,Not reviewed,,not screened
CHRNB1,0,1,,Not reviewed,,not screened
Hs.557745,0,1,,Not reviewed,,not screened
Hs.582434,0,1,,Not reviewed,,not screened
NFIX,0,1,,Not reviewed,,not screened
LDHAL6B,0,1,,Not reviewed,,not screened
Hs.540111,0,1,,Not reviewed,,not screened
Hs.571855,0,1,,Not reviewed,,not screened
DDX42,0,1,,Not reviewed,,not screened
PUNC,0,1,,Not reviewed,,not screened
REST,0,1,,Not reviewed,,screened
Hs.538746,0,1,,Not reviewed,,not screened
Hs.569340,0,1,,Not reviewed,,not screened
OR56A3,0,1,,Not reviewed,,not screened
LOC646312,0,1,,Not reviewed,,not screened
Hs.529284,0,1,,Not reviewed,,not screened
TNFSF9,0,1,,Not reviewed,,not screened
Hs.29792,0,1,,Not reviewed,,not screened
ADSS,0,1,,Not reviewed,,not screened
Hs.566479,0,1,,Not reviewed,,not screened
Hs.473191,0,1,,Not reviewed,,not screened
LOC642770,0,1,,Not reviewed,,not screened
TJAP1,0,1,,Not reviewed,,not screened
Hs.583989,0,1,,Not reviewed,,not screened
LOC133185,0,1,,Not reviewed,,not screened
KIAA1600,0,1,,Not reviewed,,not screened
Hs.521359,0,1,,Not reviewed,,not screened
Hs.209281,0,1,,Not reviewed,,not screened
DSCR9,0,1,,Not reviewed,,not screened
SSB,0,1,,Not reviewed,,not screened
HIPK4,0,1,,Not reviewed,,not screened
PURB,0,1,,Not reviewed,,not screened
LOC401720,0,1,,Not reviewed,,not screened
Hs.563308,0,1,,Not reviewed,,not screened
CHRNG,0,1,,Not reviewed,,not screened
Hs.579328,0,1,,Not reviewed,,not screened
Hs.537776,0,1,,Not reviewed,,not screened
SLC37A3,0,1,,Not reviewed,,not screened
C10orf136,0,1,,Not reviewed,,not screened
ASB10,0,1,,Not reviewed,,not screened
Hs.541025,0,1,,Not reviewed,,not screened
Hs.540718,0,1,,Not reviewed,,not screened
Hs.112782,0,1,,Not reviewed,,not screened
Hs.132067,0,1,,Not reviewed,,not screened
Hs.550145,0,1,,Not reviewed,,not screened
SENP8,0,1,,Not reviewed,,not screened
UBA2,0,1,,Not reviewed,,not screened
Hs.538820,0,1,,Not reviewed,,not screened
LOC651655,0,1,,Not reviewed,,not screened
LOC388799,0,1,,Not reviewed,,not screened
MGC40579,0,1,,Not reviewed,,not screened
Hs.583141,0,1,,Not reviewed,,not screened
KLHL14,0,1,,Not reviewed,,not screened
ZBTB41,0,1,,Not reviewed,,not screened
Hs.134198,0,1,,Not reviewed,,not screened
Hs.561020,0,1,,Not reviewed,,not screened
FOXB1,0,1,,Not reviewed,,not screened
Hs.161705,0,1,,Not reviewed,,not screened
Hs.570640,0,1,,Not reviewed,,not screened
FLJ30834,0,1,,Not reviewed,,not screened
Hs.539409,0,1,,Not reviewed,,not screened
FGFR4,0,1,,Not reviewed,,not screened
Hs.147761,0,1,,Not reviewed,,not screened
Hs.552263,0,1,,Not reviewed,,not screened
FLJ44216,0,1,,Not reviewed,,not screened
Hs.545562,0,1,,Not reviewed,,not screened
CHAF1B,0,1,,Not reviewed,,screened
LOC221711,0,1,,Not reviewed,,not screened
PRDM5,0,1,,Not reviewed,,screened
Hs.583617,0,1,,Not reviewed,,not screened
Hs.317753,0,1,,Not reviewed,,not screened
Hs.511677,0,1,,Not reviewed,,not screened
Hs.552913,0,1,,Not reviewed,,not screened
Hs.506540,0,1,,Not reviewed,,not screened
ZFPL,0,1,,Not reviewed,,not screened
Hs.520150,0,1,,Not reviewed,,not screened
Hs.505244,0,1,,Not reviewed,,not screened
Hs.545361,0,1,,Not reviewed,,not screened
KIAA1383,0,1,,Not reviewed,,not screened
Hs.544713,0,1,,Not reviewed,,not screened
SLC9A3,0,1,,Not reviewed,,not screened
Hs.317051,0,1,,Not reviewed,,not screened
ZNF268,0,1,,Not reviewed,,not screened
IRF2BP1,0,1,,Not reviewed,,not screened
DNAJC7,0,1,,Not reviewed,,not screened
EGFL5,0,1,,Not reviewed,,not screened
SYCE1,0,1,,Not reviewed,,not screened
Hs.580052,0,1,,Not reviewed,,not screened
Hs.190261,0,1,,Not reviewed,,not screened
Hs.581714,0,1,,Not reviewed,,not screened
Hs.577626,0,1,,Not reviewed,,not screened
UMPS,0,1,,Not reviewed,,not screened
LOC646376,0,1,,Not reviewed,,not screened
NOTCH2NL,0,1,,Not reviewed,,not screened
PICALM,0,1,,Not reviewed,,not screened
PRNP,0,1,,Not reviewed,,not screened
Hs.574035,0,1,,Not reviewed,,not screened
Hs.582352,0,1,,Not reviewed,,not screened
AXIN2,0,1,,Not reviewed,,not screened
Hs.545101,0,1,,Not reviewed,,not screened
LOC389174,0,1,,Not reviewed,,not screened
HCK,0,1,,Not reviewed,,not screened
Hs.49265,0,1,,Not reviewed,,not screened
TAF5,0,1,,Not reviewed,,not screened
Hs.406256,0,1,,Not reviewed,,not screened
LOC149134,0,1,,Not reviewed,,not screened
Hs.544179,0,1,,Not reviewed,,not screened
Hs.580612,0,1,,Not reviewed,,not screened
Hs.382845,0,1,,Not reviewed,,not screened
LOC647210,0,1,,Not reviewed,,not screened
Hs.584312,0,1,,Not reviewed,,not screened
Hs.541291,0,1,,Not reviewed,,not screened
HOOK2,0,1,,Not reviewed,,not screened
Hs.145181,0,1,,Not reviewed,,not screened
ANXA2,0,1,,Not reviewed,,not screened
Hs.572887,0,1,,Not reviewed,,not screened
HCST,0,1,,Not reviewed,,not screened
Hs.562257,0,1,,Not reviewed,,not screened
SAMD8,0,1,,Not reviewed,,not screened
NSUN5,0,1,,Not reviewed,,not screened
DKFZp686L1814,0,1,,Not reviewed,,not screened
C8orf15,0,1,,Not reviewed,,not screened
TTTY20,0,1,,Not reviewed,,not screened
Hs.571300,0,1,,Not reviewed,,not screened
C1orf120,0,1,,Not reviewed,,not screened
Hs.29235,0,1,,Not reviewed,,not screened
Hs.577357,0,1,,Not reviewed,,not screened
FAM50B,0,1,,Not reviewed,,not screened
LOC653392,0,1,,Not reviewed,,not screened
TSPAN10,0,1,,Not reviewed,,not screened
Hs.194294,0,1,,Not reviewed,,not screened
WDR68,0,1,,Not reviewed,,not screened
Hs.569928,0,1,,Not reviewed,,not screened
Hs.522850,0,1,,Not reviewed,,not screened
Hs.97408,0,1,,Not reviewed,,not screened
CGRRF1,0,1,,Not reviewed,,not screened
SIN3A,0,1,,Not reviewed,,screened
NKX3-1,0,1,,Not reviewed,,not screened
UBP1,0,1,,Not reviewed,,not screened
DMRTA1,0,1,,Not reviewed,,not screened
Hs.562989,0,1,,Not reviewed,,not screened
ASB12,0,1,,Not reviewed,,not screened
DLG1,0,1,,Not reviewed,,not screened
Hs.577879,0,1,,Not reviewed,,not screened
PBX1,0,1,,Not reviewed,,not screened
Hs.258406,0,1,,Not reviewed,,not screened
Hs.563543,0,1,,Not reviewed,,not screened
LOC402221,0,1,,Not reviewed,,not screened
Hs.575194,0,1,,Not reviewed,,not screened
GNGT1,0,1,,Not reviewed,,not screened
Hs.526759,0,1,,Not reviewed,,not screened
CHRM4,0,1,,Not reviewed,,not screened
ZNF645,0,1,,Not reviewed,,not screened
Hs.149975,0,1,,Not reviewed,,not screened
Hs.544788,0,1,,Not reviewed,,not screened
ARMC2,0,1,,Not reviewed,,not screened
Hs.561378,0,1,,Not reviewed,,not screened
LOC643635,0,1,,Not reviewed,,not screened
Hs.438246,0,1,,Not reviewed,,not screened
Hs.557499,0,1,,Not reviewed,,not screened
Hs.577674,0,1,,Not reviewed,,not screened
KCTD11,0,1,,Not reviewed,,not screened
FUNDC2,0,1,,Not reviewed,,not screened
LOC651344,0,1,,Not reviewed,,not screened
MRPL11,0,1,,Not reviewed,,not screened
Hs.565104,0,1,,Not reviewed,,not screened
LOC648613,0,1,,Not reviewed,,not screened
Hs.569537,0,1,,Not reviewed,,not screened
AMY2A,0,1,,Not reviewed,,not screened
Hs.538626,0,1,,Not reviewed,,not screened
Hs.577888,0,1,,Not reviewed,,not screened
CHD1,0,1,,Not reviewed,,screened
Hs.66290,0,1,,Not reviewed,,not screened
C15orf29,0,1,,Not reviewed,,not screened
FGFBP1,0,1,,Not reviewed,,not screened
LOC441956,0,1,,Not reviewed,,not screened
Hs.402356,0,1,,Not reviewed,,not screened
Hs.47446,0,1,,Not reviewed,,not screened
Hs.581824,0,1,,Not reviewed,,not screened
Hs.563751,0,1,,Not reviewed,,not screened
Hs.550193,0,1,,Not reviewed,,not screened
MGC35206,0,1,,Not reviewed,,not screened
Hs.294103,0,1,,Not reviewed,,not screened
LOC645563,0,1,,Not reviewed,,not screened
CCRK,0,1,,Not reviewed,,not screened
PRSS8,0,1,,Not reviewed,,not screened
NDUFS5,0,1,,Not reviewed,,not screened
ESR1,0,1,,Not reviewed,,screened
Hs.292692,0,1,,Not reviewed,,not screened
Hs.578185,0,1,,Not reviewed,,not screened
Hs.136985,0,1,,Not reviewed,,not screened
FPGT,0,1,,Not reviewed,,not screened
Hs.545286,0,1,,Not reviewed,,not screened
KTI12,0,1,,Not reviewed,,not screened
SLC22A3,0,1,,Not reviewed,,not screened
TNRC6A,0,1,,Not reviewed,,not screened
Hs.445179,0,1,,Not reviewed,,not screened
Hs.158720,0,1,,Not reviewed,,not screened
LHFPL3,0,1,,Not reviewed,,not screened
Hs.531984,0,1,,Not reviewed,,not screened
Hs.580205,0,1,,Not reviewed,,not screened
Hs.564678,0,1,,Not reviewed,,not screened
PDGFD,0,1,,Not reviewed,,not screened
Hs.214202,0,1,,Not reviewed,,not screened
Hs.583554,0,1,,Not reviewed,,not screened
Hs.146882,0,1,,Not reviewed,,not screened
Hs.567011,0,1,,Not reviewed,,not screened
Hs.105500,0,1,,Not reviewed,,not screened
Hs.537962,0,1,,Not reviewed,,not screened
Hs.553219,0,1,,Not reviewed,,not screened
Hs.551538,0,1,,Not reviewed,,not screened
LOC387940,0,1,,Not reviewed,,not screened
Hs.428133,0,1,,Not reviewed,,not screened
Hs.128527,0,1,,Not reviewed,,not screened
Hs.539917,0,1,,Not reviewed,,not screened
Hs.474367,0,1,,Not reviewed,,not screened
Hs.568485,0,1,,Not reviewed,,not screened
Hs.542344,0,1,,Not reviewed,,not screened
OR1S2,0,1,,Not reviewed,,not screened
Hs.397699,0,1,,Not reviewed,,not screened
SRP9,0,1,,Not reviewed,,not screened
LOC642153,0,1,,Not reviewed,,not screened
Hs.567016,0,1,,Not reviewed,,not screened
C1orf92,0,1,,Not reviewed,,not screened
Hs.543216,0,1,,Not reviewed,,not screened
LOC642453,0,1,,Not reviewed,,not screened
LOC650137,0,1,,Not reviewed,,not screened
Hs.405641,0,1,,Not reviewed,,not screened
Hs.569491,0,1,,Not reviewed,,not screened
Hs.270552,0,1,,Not reviewed,,not screened
CLEC12B,0,1,,Not reviewed,,not screened
FAIM3,0,1,,Not reviewed,,not screened
SYT2,0,1,,Not reviewed,,not screened
SLITRK1,0,1,,Not reviewed,,not screened
Hs.544934,0,1,,Not reviewed,,not screened
TRIM15,0,1,,Not reviewed,,not screened
SNX22,0,1,,Not reviewed,,not screened
MGC45438,0,1,,Not reviewed,,not screened
LTA4H,0,1,,Not reviewed,,not screened
LOC650874,0,1,,Not reviewed,,not screened
Hs.562949,0,1,,Not reviewed,,not screened
ABCC12,0,1,,Not reviewed,,not screened
LOC146053,0,1,,Not reviewed,,not screened
GPR32,0,1,,Not reviewed,,not screened
Hs.545205,0,1,,Not reviewed,,not screened
Hs.113871,0,1,,Not reviewed,,not screened
LOC644424,0,1,,Not reviewed,,not screened
Hs.548618,0,1,,Not reviewed,,not screened
LOC388813,0,1,,Not reviewed,,not screened
ADAM8,0,1,,Not reviewed,,not screened
SEZ6L,0,1,,Not reviewed,,not screened
JMJD2D,0,1,,Not reviewed,,not screened
Hs.102572,0,1,,Not reviewed,,not screened
Hs.563241,0,1,,Not reviewed,,not screened
LOC648733,0,1,,Not reviewed,,not screened
C10orf96,0,1,,Not reviewed,,not screened
MYO5B,0,1,,Not reviewed,,not screened
Hs.549740,0,1,,Not reviewed,,not screened
LOC644207,0,1,,Not reviewed,,not screened
Hs.540373,0,1,,Not reviewed,,not screened
MTMR4,0,1,,Not reviewed,,not screened
BRPF1,0,1,,Not reviewed,,screened
Hs.538606,0,1,,Not reviewed,,not screened
YIPF4,0,1,,Not reviewed,,not screened
Hs.444221,0,1,,Not reviewed,,not screened
CYSLTR1,0,1,,Not reviewed,,not screened
PPP2R5E,0,1,,Not reviewed,,not screened
SLC5A4,0,1,,Not reviewed,,not screened
LOC389895,0,1,,Not reviewed,,not screened
Hs.568970,0,1,,Not reviewed,,not screened
LOC649639,0,1,,Not reviewed,,not screened
ATAD4,0,1,,Not reviewed,,not screened
Hs.128387,0,1,,Not reviewed,,not screened
FLJ26056,0,1,,Not reviewed,,not screened
C10orf90,0,1,,Not reviewed,,not screened
Hs.560471,0,1,,Not reviewed,,not screened
FOXA2,0,1,,Not reviewed,,not screened
COX6BP1,0,1,,Not reviewed,,not screened
Hs.542900,0,1,,Not reviewed,,not screened
Hs.128091,0,1,,Not reviewed,,not screened
Hs.545606,0,1,,Not reviewed,,not screened
SLC6A9,0,1,,Not reviewed,,not screened
ARMC8,0,1,,Not reviewed,,not screened
COLEC11,0,1,,Not reviewed,,not screened
HIST1H4H,0,1,,Not reviewed,,not screened
LOC389827,0,1,,Not reviewed,,not screened
Hs.557975,0,1,,Not reviewed,,not screened
Hs.568040,0,1,,Not reviewed,,not screened
Hs.530149,0,1,,Not reviewed,,not screened
FBXO6,0,1,,Not reviewed,,not screened
Hs.437802,0,1,,Not reviewed,,not screened
Hs.537535,0,1,,Not reviewed,,not screened
SUPT16H,0,1,,Not reviewed,,screened
LOC653312,0,1,,Not reviewed,,not screened
LOC645648,0,1,,Not reviewed,,not screened
FLJ14834,0,1,,Not reviewed,,not screened
Hs.580173,0,1,,Not reviewed,,not screened
Hs.163022,0,1,,Not reviewed,,not screened
Hs.578080,0,1,,Not reviewed,,not screened
INT1,0,1,,Not reviewed,,not screened
FAM5C,0,1,,Not reviewed,,not screened
LOC392559,0,1,,Not reviewed,,not screened
KBTBD8,0,1,,Not reviewed,,not screened
Hs.214235,0,1,,Not reviewed,,not screened
Hs.156738,0,1,,Not reviewed,,not screened
Hs.558963,0,1,,Not reviewed,,not screened
DDIT4,0,1,,Not reviewed,,not screened
RNF36,0,1,,Not reviewed,,not screened
Hs.545054,0,1,,Not reviewed,,not screened
Hs.572889,0,1,,Not reviewed,,not screened
LOC648876,0,1,,Not reviewed,,not screened
Hs.577600,0,1,,Not reviewed,,not screened
FLJ31568,0,1,,Not reviewed,,not screened
LOC644574,0,1,,Not reviewed,,not screened
LOC643369,0,1,,Not reviewed,,not screened
PLGLB2,0,1,,Not reviewed,,not screened
CXCL10,0,1,,Not reviewed,,not screened
Hs.573848,0,1,,Not reviewed,,not screened
LOC158730,0,1,,Not reviewed,,not screened
GOSR1,0,1,,Not reviewed,,not screened
LOC651337,0,1,,Not reviewed,,not screened
UBL3,0,1,,Not reviewed,,not screened
Hs.568740,0,1,,Not reviewed,,not screened
LOC646881,0,1,,Not reviewed,,not screened
NME5,0,1,,Not reviewed,,not screened
MAGEA2B,0,1,,Not reviewed,,not screened
Hs.584078,0,1,,Not reviewed,,not screened
Hs.582113,0,1,,Not reviewed,,not screened
Hs.565300,0,1,,Not reviewed,,not screened
Hs.576910,0,1,,Not reviewed,,not screened
HAND2,0,1,,Not reviewed,,not screened
FAM9C,0,1,,Not reviewed,,not screened
Hs.176518,0,1,,Not reviewed,,not screened
Hs.572136,0,1,,Not reviewed,,not screened
Hs.563690,0,1,,Not reviewed,,not screened
Hs.291319,0,1,,Not reviewed,,not screened
VAMP4,0,1,,Not reviewed,,not screened
Hs.552121,0,1,,Not reviewed,,not screened
Hs.544679,0,1,,Not reviewed,,not screened
LOC650188,0,1,,Not reviewed,,not screened
RAB6B,0,1,,Not reviewed,,not screened
LOC652715,0,1,,Not reviewed,,not screened
TNNI2,0,1,,Not reviewed,,not screened
Hs.541817,0,1,,Not reviewed,,not screened
LOC645981,0,1,,Not reviewed,,not screened
Hs.148998,0,1,,Not reviewed,,not screened
PCP2,0,1,,Not reviewed,,not screened
Hs.284492,0,1,,Not reviewed,,not screened
LOC642220,0,1,,Not reviewed,,not screened
C14orf139,0,1,,Not reviewed,,not screened
Hs.163526,0,1,,Not reviewed,,not screened
MRPS31,0,1,,Not reviewed,,not screened
Hs.583304,0,1,,Not reviewed,,not screened
LOC283398,0,1,,Not reviewed,,not screened
SH3D19,0,1,,Not reviewed,,not screened
SOCS6,0,1,,Not reviewed,,not screened
Hs.419777,0,1,,Not reviewed,,not screened
Hs.386275,0,1,,Not reviewed,,not screened
Hs.127279,0,1,,Not reviewed,,not screened
Hs.578105,0,1,,Not reviewed,,not screened
LOC650180,0,1,,Not reviewed,,not screened
LOC649967,0,1,,Not reviewed,,not screened
ZNF482,0,1,,Not reviewed,,not screened
Hs.574602,0,1,,Not reviewed,,not screened
RTF1,0,1,,Not reviewed,,not screened
Hs.573028,0,1,,Not reviewed,,not screened
Hs.582967,0,1,,Not reviewed,,not screened
Hs.256879,0,1,,Not reviewed,,not screened
LOC646381,0,1,,Not reviewed,,not screened
Hs.559989,0,1,,Not reviewed,,not screened
Hs.539306,0,1,,Not reviewed,,not screened
Hs.545808,0,1,,Not reviewed,,not screened
SLCO1C1,0,1,,Not reviewed,,not screened
ZBTB3,0,1,,Not reviewed,,not screened
LOC645418,0,1,,Not reviewed,,not screened
Hs.543182,0,1,,Not reviewed,,not screened
CTNNBL1,0,1,,Not reviewed,,not screened
LOC641714,0,1,,Not reviewed,,not screened
LOC391475,0,1,,Not reviewed,,not screened
POLR1D,0,1,,Not reviewed,,not screened
Hs.188213,0,1,,Not reviewed,,not screened
Hs.122065,0,1,,Not reviewed,,not screened
LOC645752,0,1,,Not reviewed,,not screened
Hs.193784,0,1,,Not reviewed,,not screened
LOC652506,0,1,,Not reviewed,,not screened
Hs.554372,0,1,,Not reviewed,,not screened
SH3GLB2,0,1,,Not reviewed,,not screened
PDC,0,1,,Not reviewed,,not screened
KPNA5,0,1,,Not reviewed,,not screened
Hs.538979,0,1,,Not reviewed,,not screened
SEC8L1,0,1,,Not reviewed,,not screened
H2AFY2,0,1,,Not reviewed,,not screened
ABCA2,0,1,,Not reviewed,,not screened
LOC401358,0,1,,Not reviewed,,not screened
ARNT2,0,1,,Not reviewed,,not screened
DNASE1L3,0,1,,Not reviewed,,not screened
LOC651554,0,1,,Not reviewed,,not screened
Hs.542351,0,1,,Not reviewed,,not screened
FLJ38964,0,1,,Not reviewed,,not screened
STRN3,0,1,,Not reviewed,,not screened
LOC149224,0,1,,Not reviewed,,not screened
Hs.321099,0,1,,Not reviewed,,not screened
Hs.565403,0,1,,Not reviewed,,not screened
Hs.208477,0,1,,Not reviewed,,not screened
Hs.563328,0,1,,Not reviewed,,not screened
Hs.545851,0,1,,Not reviewed,,not screened
Hs.544418,0,1,,Not reviewed,,not screened
Hs.583810,0,1,,Not reviewed,,not screened
ADAMTS17,0,1,,Not reviewed,,not screened
PADI6,0,1,,Not reviewed,,not screened
DUS4L,0,1,,Not reviewed,,not screened
NT5C1B,0,1,,Not reviewed,,not screened
Hs.351888,0,1,,Not reviewed,,not screened
LOC644379,0,1,,Not reviewed,,not screened
Hs.553096,0,1,,Not reviewed,,not screened
JMY,0,1,,Not reviewed,,not screened
Hs.559737,0,1,,Not reviewed,,not screened
Hs.429280,0,1,,Not reviewed,,not screened
Hs.563087,0,1,,Not reviewed,,not screened
LOC651076,0,1,,Not reviewed,,not screened
LOC650975,0,1,,Not reviewed,,not screened
Hs.99298,0,1,,Not reviewed,,not screened
Hs.539843,0,1,,Not reviewed,,not screened
NR5A2,0,1,,Not reviewed,,not screened
HIST1H4C,0,1,,Not reviewed,,not screened
Hs.583993,0,1,,Not reviewed,,not screened
UNQ9433,0,1,,Not reviewed,,not screened
Hs.146766,0,1,,Not reviewed,,not screened
SPATS1,0,1,,Not reviewed,,not screened
Hs.581312,0,1,,Not reviewed,,not screened
LOC653626,0,1,,Not reviewed,,not screened
SPINK5L2,0,1,,Not reviewed,,not screened
Hs.568309,0,1,,Not reviewed,,not screened
Hs.345461,0,1,,Not reviewed,,not screened
Hs.565022,0,1,,Not reviewed,,not screened
Hs.539637,0,1,,Not reviewed,,not screened
Hs.171251,0,1,,Not reviewed,,not screened
LOC644641,0,1,,Not reviewed,,not screened
Hs.543501,0,1,,Not reviewed,,not screened
Hs.579120,0,1,,Not reviewed,,not screened
LOC650435,0,1,,Not reviewed,,not screened
ABCD1,0,1,,Not reviewed,,not screened
Hs.543221,0,1,,Not reviewed,,not screened
CCL26,0,1,,Not reviewed,,not screened
Hs.564077,0,1,,Not reviewed,,not screened
Hs.513113,0,1,,Not reviewed,,not screened
Hs.123547,0,1,,Not reviewed,,not screened
Hs.536630,0,1,,Not reviewed,,not screened
FBXL6,0,1,,Not reviewed,,not screened
LOC390551,0,1,,Not reviewed,,not screened
ANKDD1A,0,1,,Not reviewed,,not screened
Hs.536449,0,1,,Not reviewed,,not screened
Hs.538322,0,1,,Not reviewed,,not screened
Hs.514440,0,1,,Not reviewed,,not screened
Hs.579002,0,1,,Not reviewed,,not screened
Hs.573131,0,1,,Not reviewed,,not screened
C10orf77,0,1,,Not reviewed,,not screened
LOC642849,0,1,,Not reviewed,,not screened
Hs.292188,0,1,,Not reviewed,,not screened
Hs.560049,0,1,,Not reviewed,,not screened
Hs.565607,0,1,,Not reviewed,,not screened
GLO1,0,1,,Not reviewed,,not screened
Hs.541907,0,1,,Not reviewed,,not screened
Hs.570058,0,1,,Not reviewed,,not screened
RUNX2,0,1,,Not reviewed,,not screened
Hs.543533,0,1,,Not reviewed,,not screened
OTOP3,0,1,,Not reviewed,,not screened
LOC649518,0,1,,Not reviewed,,not screened
RNF14,0,1,,Not reviewed,,not screened
Hs.368271,0,1,,Not reviewed,,not screened
NALP8,0,1,,Not reviewed,,not screened
Hs.582395,0,1,,Not reviewed,,not screened
Hs.583220,0,1,,Not reviewed,,not screened
LOC647213,0,1,,Not reviewed,,not screened
ITGA1,0,1,,Not reviewed,,not screened
TRIM54,0,1,,Not reviewed,,not screened
Hs.541757,0,1,,Not reviewed,,not screened
RSAD2,0,1,,Not reviewed,,not screened
ANKMY2,0,1,,Not reviewed,,not screened
KIAA1900,0,1,,Not reviewed,,not screened
LOC645600,0,1,,Not reviewed,,not screened
ATF7IP2,0,1,,Not reviewed,,not screened
Hs.563074,0,1,,Not reviewed,,not screened
Hs.336513,0,1,,Not reviewed,,not screened
Hs.211807,0,1,,Not reviewed,,not screened
Hs.21403,0,1,,Not reviewed,,not screened
Hs.543873,0,1,,Not reviewed,,not screened
Hs.584102,0,1,,Not reviewed,,not screened
MAG,0,1,,Not reviewed,,not screened
Hs.333856,0,1,,Not reviewed,,not screened
LOC642716,0,1,,Not reviewed,,not screened
Hs.368894,0,1,,Not reviewed,,not screened
Hs.559476,0,1,,Not reviewed,,not screened
Hs.573982,0,1,,Not reviewed,,not screened
MGC41945,0,1,,Not reviewed,,not screened
Hs.66072,0,1,,Not reviewed,,not screened
Hs.543471,0,1,,Not reviewed,,not screened
Hs.542452,0,1,,Not reviewed,,not screened
C9orf91,0,1,,Not reviewed,,not screened
Hs.569110,0,1,,Not reviewed,,not screened
TRIM65,0,1,,Not reviewed,,not screened
LOC651143,0,1,,Not reviewed,,not screened
Hs.551128,0,1,,Not reviewed,,not screened
Hs.129345,0,1,,Not reviewed,,not screened
Hs.537095,0,1,,Not reviewed,,not screened
EP400NL,0,1,,Not reviewed,,not screened
NAGS,0,1,,Not reviewed,,not screened
Hs.542036,0,1,,Not reviewed,,not screened
Hs.561959,0,1,,Not reviewed,,not screened
LOC441168,0,1,,Not reviewed,,not screened
Hs.572007,0,1,,Not reviewed,,not screened
C2orf28,0,1,,Not reviewed,,not screened
LOC648955,0,1,,Not reviewed,,not screened
Hs.12292,0,1,,Not reviewed,,not screened
Hs.581331,0,1,,Not reviewed,,not screened
MGC21675,0,1,,Not reviewed,,not screened
Hs.303112,0,1,,Not reviewed,,not screened
FLJ20254,0,1,,Not reviewed,,not screened
Hs.127874,0,1,,Not reviewed,,not screened
LOC283412,0,1,,Not reviewed,,not screened
Hs.545120,0,1,,Not reviewed,,not screened
SEL1L,0,1,,Not reviewed,,not screened
HIST1H2AG,0,1,,Not reviewed,,not screened
C16orf24,0,1,,Not reviewed,,not screened
Hs.581953,0,1,,Not reviewed,,not screened
Hs.572683,0,1,,Not reviewed,,not screened
SILV,0,1,,Not reviewed,,not screened
Hs.443490,0,1,,Not reviewed,,not screened
Hs.562116,0,1,,Not reviewed,,not screened
Hs.565545,0,1,,Not reviewed,,not screened
Hs.574946,0,1,,Not reviewed,,not screened
ZFYVE21,0,1,,Not reviewed,,not screened
Hs.444348,0,1,,Not reviewed,,not screened
Hs.202619,0,1,,Not reviewed,,not screened
FLJ25791,0,1,,Not reviewed,,not screened
GPS2,0,1,,Not reviewed,,not screened
Hs.541490,0,1,,Not reviewed,,not screened
Hs.538387,0,1,,Not reviewed,,not screened
RASSF3,0,1,,Not reviewed,,not screened
