perturbation,brunello.neg.score,brunello.neg.p.value,brunello.neg.fdr,brunello.neg.goodsgrna,brunello.neg.lfc,brunello.pos.score,brunello.pos.p.value,brunello.pos.fdr,brunello.pos.goodsgrna,brunello.pos.lfc,gecko.num,gecko.neg.score,gecko.neg.p.value,gecko.neg.fdr,gecko.neg.goodsgrna,gecko.neg.lfc,gecko.pos.score,gecko.pos.p.value,gecko.pos.fdr,gecko.pos.goodsgrna,gecko.pos.lfc
MAPRE1,0.020995,0.058612,0.94812,3,-0.4169,0.91319,0.91311,1,0,-0.4169,3,0.010873,0.029082,0.886371,3,-0.59671,0.98386,0.98401,1,0,-0.59671
MAPRE2,0.65409,0.67777,1,1,-0.050882,0.63921,0.67089,1,1,-0.050882,3,0.72195,0.7221,1,0,-0.060203,0.19654,0.308,0.997365,1,-0.060203
MAPRE3,0.98349,0.98344,1,0,0.24844,0.1047,0.22285,1,3,0.24844,3,0.10329,0.18574,0.998635,1,-0.10226,0.88867,0.88874,1,0,-0.10226
MAPT,0.51465,0.59324,1,1,0.32567,0.035709,0.090147,1,3,0.32567,3,0.59719,0.61246,1,1,0.11645,0.12007,0.20873,0.990266,1,0.11645
MARCKS,0.0070398,0.024028,0.855451,3,-0.42624,0.9855,0.98546,1,0,-0.42624,3,0.19622,0.30728,1,2,-0.26899,0.94686,0.94708,1,0,-0.26899
MARCKSL1,0.79088,0.79059,1,0,-0.031334,0.82737,0.82719,1,0,-0.031334,3,0.2368,0.35843,1,2,-0.3923,0.53522,0.568,1,1,-0.3923
MARCO,0.13527,0.25457,1,1,0.00040613,0.29502,0.43108,1,1,0.00040613,3,0.17788,0.28366,1,1,-0.071305,0.41941,0.49259,1,1,-0.071305
MARK1,0.30105,0.43651,1,2,-0.11074,0.36768,0.50974,1,1,-0.11074,3,0.12121,0.20953,1,2,-0.11918,0.9307,0.9308,1,0,-0.11918
MARK2,0.040019,0.098555,0.994395,3,-0.59145,0.81399,0.81378,1,0,-0.59145,3,0.0064751,0.017707,0.860011,2,-0.52048,0.91983,0.91988,1,0,-0.52048
MARK3,0.0049294,0.017121,0.834932,4,-0.31068,0.99507,0.99507,1,0,-0.31068,3,0.0049907,0.013788,0.833171,2,-0.47022,0.44141,0.50597,1,1,-0.47022
MARK4,0.15478,0.27612,1,2,-0.04419,0.24844,0.38081,1,2,-0.04419,3,0.67963,0.68163,1,1,-0.10332,0.76545,0.76573,1,0,-0.10332
MARS,0.87864,0.8787,1,0,-0.25873,0.016014,0.029814,0.777036,1,-0.25873,3,0.42585,0.49391,1,1,0.22586,0.035274,0.087374,0.974723,2,0.22586
MARS2,0.13834,0.25799,1,1,0.094218,0.23301,0.3641,1,2,0.094218,3,0.72877,0.72898,1,0,0.134,0.20448,0.31813,0.997365,2,0.134
MARVELD1,0.09564,0.20654,1,2,-0.10744,0.93143,0.93147,1,0,-0.10744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARVELD2,0.15332,0.2745,1,2,-0.204,0.77552,0.77591,1,1,-0.204,3,0.77047,0.77075,1,0,0.0048326,0.81255,0.81252,1,0,0.0048326
MARVELD3,0.59665,0.64031,1,1,-0.11959,0.87174,0.87154,1,0,-0.11959,3,0.12479,0.21429,1,2,-0.26888,0.83374,0.83376,1,0,-0.26888
MAS1,0.91346,0.91339,1,0,0.1756,0.13879,0.26157,1,2,0.1756,3,0.18428,0.29196,1,2,-0.25043,0.86613,0.86616,1,0,-0.25043
MAS1L,0.065833,0.15002,1,3,-0.15115,0.17192,0.29778,1,1,-0.15115,3,0.082921,0.15854,0.997474,1,0.33469,0.010505,0.028121,0.931397,2,0.33469
MASP1,0.65278,0.67685,1,1,0.053584,0.33039,0.46932,1,1,0.053584,3,0.098553,0.17947,0.997706,2,-0.36608,0.76483,0.76509,1,0,-0.36608
MASP2,0.25693,0.3884,1,1,-0.14742,0.9445,0.94448,1,0,-0.14742,3,0.87571,0.87583,1,0,0.2758,0.092954,0.17278,0.987356,2,0.2758
MAST1,0.6837,0.69893,1,1,-0.10596,0.16795,0.29339,1,1,-0.10596,3,0.05906,0.12603,0.99216,2,-0.38663,0.24826,0.37285,0.997365,1,-0.38663
MAST2,0.011689,0.037987,0.916035,2,-0.19908,0.45082,0.56671,1,1,-0.19908,3,0.88471,0.88479,1,0,0.1334,0.16129,0.2625,0.992729,1,0.1334
MAST3,0.31702,0.45401,1,2,-0.15469,0.77596,0.77632,1,1,-0.15469,3,0.60716,0.62028,1,1,0.030717,0.52148,0.55839,1,1,0.030717
MAST4,0.33596,0.47474,1,2,-0.076319,0.88835,0.88827,1,0,-0.076319,3,0.074349,0.14684,0.997474,1,-0.064763,0.10392,0.18734,0.989963,1,-0.064763
MASTL,0.64505,0.6472,1,1,-0.092698,0.6023,0.611,1,1,-0.092698,3,0.11381,0.19979,1,2,-0.27203,0.94426,0.94448,1,0,-0.27203
MAT1A,0.81406,0.81385,1,0,0.028391,0.74677,0.75042,1,1,0.028391,3,0.12706,0.21726,1,2,-0.14554,0.72306,0.72328,1,1,-0.14554
MAT2A,0.29346,0.42827,1,2,-0.070352,0.60182,0.64739,1,1,-0.070352,3,0.76413,0.76443,1,0,-0.10467,0.5978,0.61415,1,1,-0.10467
MAT2B,0.0045862,0.015954,0.814283,4,-0.38359,0.99541,0.9954,1,0,-0.38359,3,0.83876,0.83878,1,0,0.067192,0.3984,0.47986,1,1,0.067192
MATK,0.89833,0.89822,1,0,0.14003,0.24589,0.37802,1,2,0.14003,3,0.71948,0.7196,1,1,0.17532,0.23463,0.35588,0.997365,2,0.17532
MATN1,0.86521,0.86498,1,0,0.23222,0.077308,0.17223,1,3,0.23222,3,0.3875,0.47077,1,1,0.014328,0.77371,0.77394,1,0,0.014328
MATN2,0.90009,0.90001,1,0,0.013191,0.42738,0.55583,1,1,0.013191,3,0.061706,0.1297,0.99216,2,-0.29548,0.12183,0.21103,0.990266,1,-0.29548
MATN3,0.25583,0.38715,1,2,0.10442,0.051469,0.12212,1,2,0.10442,3,0.041466,0.10134,0.977968,2,-0.30266,0.42489,0.49588,1,1,-0.30266
MATN4,0.33938,0.47852,1,1,0.11501,0.24118,0.37289,1,2,0.11501,3,0.089197,0.16686,0.997654,2,-0.30482,0.85032,0.85035,1,0,-0.30482
MATR3,0.81875,0.81855,1,0,0.10014,0.69321,0.70825,1,1,0.10014,3,0.24343,0.3667,1,2,-0.12502,0.90207,0.90216,1,0,-0.12502
MAU2,0.85924,0.85893,1,0,0.42983,0.012501,0.040491,0.862503,3,0.42983,3,0.60433,0.61808,1,1,0.27865,0.2516,0.37705,0.997365,1,0.27865
MAVS,0.29521,0.43015,1,2,-0.1624,0.26809,0.40198,1,1,-0.1624,3,0.93891,0.93913,1,0,0.23204,0.11306,0.19948,0.990266,2,0.23204
MAX,0.99869,0.99868,1,0,0.66691,0.0013111,0.0047341,0.305106,4,0.66691,3,0.68441,0.68597,1,1,0.43448,0.090306,0.16917,0.987356,2,0.43448
MAZ,0.00036546,0.0013716,0.317002,4,-0.39934,0.99963,0.99962,1,0,-0.39934,3,0.68703,0.68845,1,1,-0.10241,0.94256,0.94274,1,0,-0.10241
MB,0.60747,0.64703,1,1,-0.014135,0.60064,0.64668,1,1,-0.014135,3,0.52935,0.5621,1,1,0.2236,0.024163,0.061672,0.958617,2,0.2236
MB21D1,0.83522,0.83504,1,0,0.21204,0.11254,0.23288,1,2,0.21204,3,0.90528,0.90534,1,0,0.036161,0.35654,0.45562,1,1,0.036161
MB21D2,0.19788,0.32365,1,1,0.0062755,0.76214,0.76377,1,1,0.0062755,3,0.38971,0.47203,1,1,0.25814,0.16037,0.26129,0.992729,2,0.25814
MBD1,0.94125,0.94124,1,0,0.036555,0.63008,0.66501,1,1,0.036555,3,0.11004,0.19481,1,2,-0.35619,0.68541,0.68734,1,1,-0.35619
MBD2,0.24107,0.37099,1,2,-0.05008,0.52311,0.60291,1,1,-0.05008,3,0.14124,0.23592,1,1,-0.08856,0.17738,0.28345,0.993295,1,-0.08856
MBD3,0.77,0.77021,1,1,0.2011,0.099385,0.21334,1,3,0.2011,3,0.74194,0.74212,1,0,0.049854,0.40595,0.48439,1,1,0.049854
MBD3L1,0.72633,0.732,1,1,0.1771,0.20571,0.33456,1,2,0.1771,3,0.13847,0.23229,1,1,0.047442,0.52744,0.56251,1,1,0.047442
MBD3L2,0.63058,0.66192,1,1,0.06998,0.57524,0.63153,1,1,0.06998,3,0.68734,0.68874,1,1,-0.089953,0.80665,0.80663,1,0,-0.089953
MBD3L3,0.062181,0.14285,1,3,-0.31899,0.31578,0.45356,1,1,-0.31899,3,0.76282,0.7631,1,0,0.069719,0.55224,0.58008,1,1,0.069719
MBD3L4,0.53718,0.60547,1,1,0.035848,0.81553,0.81534,1,0,0.035848,3,0.68734,0.68874,1,1,-0.030827,0.89334,0.89338,1,0,-0.030827
MBD3L5,0.57984,0.63,1,1,0.13128,0.2978,0.43411,1,2,0.13128,3,0.68734,0.68874,1,1,-0.030827,0.79906,0.79915,1,0,-0.030827
MBD4,0.90824,0.90816,1,0,0.031849,0.60709,0.65059,1,1,0.031849,3,0.17235,0.27643,1,2,-0.15748,0.88815,0.88822,1,0,-0.15748
MBD5,0.073592,0.16498,1,3,-0.22073,0.87445,0.87429,1,0,-0.22073,3,0.85226,0.85232,1,0,0.13723,0.46875,0.52323,1,1,0.13723
MBD6,0.76521,0.76573,1,1,0.10274,0.60974,0.65222,1,1,0.10274,3,0.86745,0.86749,1,0,0.078796,0.49262,0.53885,1,1,0.078796
MBIP,0.19708,0.32275,1,2,-0.075874,0.031771,0.081921,0.989805,2,-0.075874,3,0.77457,0.7748,1,0,0.4323,0.017629,0.045856,0.94682,2,0.4323
MBL2,0.85725,0.85701,1,0,0.085556,0.19066,0.31819,1,1,0.085556,3,0.11231,0.1978,1,2,-0.19344,0.7294,0.72962,1,0,-0.19344
MBLAC1,0.15857,0.28035,1,2,-0.28072,0.29865,0.43502,1,1,-0.28072,3,0.64769,0.65362,1,1,0.012989,0.17551,0.28099,0.993295,1,0.012989
MBLAC2,0.087886,0.19214,1,2,-0.39901,0.95139,0.95132,1,0,-0.39901,3,0.97514,0.97526,1,0,0.20407,0.024858,0.063315,0.958617,3,0.20407
MBNL1,0.33456,0.47318,1,2,-0.09564,0.91358,0.91351,1,0,-0.09564,3,0.56137,0.58518,1,1,-0.088591,0.48269,0.53227,1,1,-0.088591
MBNL2,0.058496,0.13559,1,3,-0.54902,0.64456,0.67441,1,1,-0.54902,3,0.68966,0.69081,1,1,0.087698,0.1523,0.25078,0.992729,1,0.087698
MBNL3,0.76643,0.76687,1,1,0.03129,0.38572,0.52909,1,1,0.03129,3,0.62895,0.63788,1,1,0.06996,0.27882,0.41073,1,2,0.06996
MBOAT1,0.81188,0.81168,1,0,0.21903,0.056299,0.13172,1,3,0.21903,3,0.70846,0.70877,1,1,-0.060189,0.91243,0.9125,1,0,-0.060189
